fname,label
00063640.wav,Shatter Keys_jangling Tambourine
0013a1db.wav,Flute Trumpet Violin_or_fiddle
002bb878.wav,Bass_drum Knock Gunshot_or_gunfire
002d392d.wav,Bass_drum Knock Double_bass
00326aa9.wav,Oboe Clarinet Bass_drum
0038a046.wav,Bass_drum Electric_piano Knock
003995fa.wav,Squeak Clarinet Telephone
005ae625.wav,Acoustic_guitar Cello Clarinet
007759c4.wav,Flute Clarinet Flute
008afd93.wav,Saxophone Flute Cello
00a161c0.wav,Cello Clarinet Flute
00a7a2f6.wav,Clarinet Trumpet Cello
00ae03f6.wav,Chime Telephone Bus
00b2404e.wav,Cello Double_bass Bass_drum
00beb030.wav,Clarinet Oboe Trumpet
00c4d5b8.wav,Acoustic_guitar Gong Double_bass
00c92c05.wav,Acoustic_guitar Clarinet Glockenspiel
00ccf065.wav,Bass_drum Flute Finger_snapping
00d0ab77.wav,Clarinet Trumpet Cello
00dffe3a.wav,Bass_drum Knock Hi-hat
00e33205.wav,Clarinet Trumpet Oboe
00e7ed07.wav,Flute Saxophone Trumpet
00eac343.wav,Electric_piano Telephone Clarinet
00f2f692.wav,Hi-hat Violin_or_fiddle Glockenspiel
0102a895.wav,Cello Double_bass Acoustic_guitar
010a0b3a.wav,Shatter Tambourine Keys_jangling
010eed01.wav,Trumpet Knock Gunshot_or_gunfire
01115622.wav,Shatter Hi-hat Keys_jangling
01198b7e.wav,Clarinet Oboe Saxophone
01207ce5.wav,Tearing Keys_jangling Gunshot_or_gunfire
0137bfba.wav,Acoustic_guitar Laughter Computer_keyboard
014eb52e.wav,Flute Saxophone Clarinet
01608fa3.wav,Bass_drum Knock Double_bass
0169348e.wav,Clarinet Saxophone Trumpet
016e52da.wav,Flute Clarinet Bass_drum
0183b482.wav,Acoustic_guitar Electric_piano Telephone
0185de6b.wav,Acoustic_guitar Electric_piano Cello
01a5a2a3.wav,Bark Cough Bass_drum
01aed32a.wav,Acoustic_guitar Clarinet Cello
01afccc5.wav,Acoustic_guitar Cello Saxophone
01b4cdb5.wav,Acoustic_guitar Computer_keyboard Writing
01b85217.wav,Clarinet Trumpet Flute
01bb344f.wav,Double_bass Acoustic_guitar Saxophone
01bede12.wav,Trumpet Flute Clarinet
01c9d6d3.wav,Clarinet Trumpet Flute
01e628cb.wav,Clarinet Flute Trumpet
01e6e112.wav,Telephone Acoustic_guitar Telephone
01e99e2d.wav,Cello Violin_or_fiddle Flute
01eccb6e.wav,Clarinet Trumpet Flute
01f27f99.wav,Gunshot_or_gunfire Fireworks Fart
01f29edb.wav,Flute Clarinet Cello
01f9883e.wav,Acoustic_guitar Laughter Saxophone
01fd22ba.wav,Bass_drum Electric_piano Telephone
01fe4a01.wav,Bus Tearing Fireworks
02107093.wav,Electric_piano Telephone Knock
02182ebd.wav,Hi-hat Bass_drum Fireworks
02198549.wav,Computer_keyboard Scissors Computer_keyboard
0220d48a.wav,Bass_drum Knock Gunshot_or_gunfire
02210ee7.wav,Flute Saxophone Violin_or_fiddle
022170df.wav,Clarinet Saxophone Oboe
023431b2.wav,Trumpet Harmonica Squeak
023e7db3.wav,Flute Saxophone Clarinet
023eab1f.wav,Double_bass Knock Bark
02482fdc.wav,Acoustic_guitar Violin_or_fiddle Cello
024e45b1.wav,Cello Saxophone Violin_or_fiddle
026820e6.wav,Laughter Burping_or_eructation Cough
02697329.wav,Bass_drum Microwave_oven Burping_or_eructation
027a8b14.wav,Finger_snapping Hi-hat Scissors
027dbe3e.wav,Bass_drum Double_bass Knock
027f06cc.wav,Squeak Laughter Violin_or_fiddle
028278f0.wav,Trumpet Clarinet Oboe
028db587.wav,Double_bass Bass_drum Cello
02960f07.wav,Scissors Writing Tearing
0298b2c6.wav,Flute Oboe Saxophone
02a0eb3c.wav,Acoustic_guitar Bus Telephone
02ad476f.wav,Squeak Drawer_open_or_close Laughter
02af55f6.wav,Acoustic_guitar Electric_piano Double_bass
02c3af87.wav,Trumpet Clarinet Oboe
02c46d0b.wav,Acoustic_guitar Double_bass Cello
02c6f112.wav,Cello Violin_or_fiddle Drawer_open_or_close
02cb4d01.wav,Gunshot_or_gunfire Bass_drum Double_bass
02d5dc55.wav,Bass_drum Knock Flute
02d9b93c.wav,Saxophone Flute Clarinet
02df943b.wav,Bass_drum Knock Gunshot_or_gunfire
02e99b5e.wav,Cello Saxophone Clarinet
02f8d82c.wav,Trumpet Saxophone Clarinet
02fb6c5b.wav,Knock Bass_drum Writing
0300b76b.wav,Acoustic_guitar Laughter Bus
0303e3a5.wav,Bass_drum Double_bass Microwave_oven
03079bb2.wav,Computer_keyboard Scissors Writing
030bacc6.wav,Drawer_open_or_close Microwave_oven Double_bass
030db750.wav,Telephone Squeak Chime
0310089a.wav,Flute Oboe Clarinet
0316ff65.wav,Bass_drum Knock Drawer_open_or_close
03199dbe.wav,Cello Double_bass Violin_or_fiddle
031b6d8f.wav,Flute Saxophone Trumpet
03319789.wav,Violin_or_fiddle Cowbell Bark
033a0cbe.wav,Bass_drum Knock Double_bass
0345130c.wav,Trumpet Applause Cello
034b1b41.wav,Flute Clarinet Oboe
034c1c69.wav,Flute Saxophone Trumpet
035e420f.wav,Tambourine Hi-hat Cough
036c1697.wav,Acoustic_guitar Tearing Writing
036f228c.wav,Clarinet Oboe Bass_drum
03786473.wav,Squeak Clarinet Squeak
037e7b6f.wav,Flute Cello Violin_or_fiddle
0381efd3.wav,Double_bass Cello Gong
038397e9.wav,Bass_drum Hi-hat Gunshot_or_gunfire
03858091.wav,Bass_drum Knock Drawer_open_or_close
03888259.wav,Double_bass Acoustic_guitar Electric_piano
0394e0d4.wav,Hi-hat Bass_drum Flute
03953467.wav,Flute Saxophone Bass_drum
039d36e9.wav,Cello Violin_or_fiddle Oboe
03ab8828.wav,Fireworks Gunshot_or_gunfire Microwave_oven
03af84e5.wav,Clarinet Oboe Saxophone
03b7faf1.wav,Squeak Writing Keys_jangling
03c1c5f4.wav,Flute Oboe Saxophone
03c5bfbb.wav,Gunshot_or_gunfire Bass_drum Fireworks
03d2bdca.wav,Clarinet Saxophone Trumpet
03d5a89c.wav,Clarinet Saxophone Flute
03e1e393.wav,Acoustic_guitar Burping_or_eructation Chime
03e2ecd9.wav,Acoustic_guitar Electric_piano Gong
03e860b2.wav,Trumpet Flute Saxophone
03f2e21f.wav,Cello Saxophone Double_bass
03f39877.wav,Hi-hat Fireworks Bass_drum
03fafd5b.wav,Double_bass Cello Gong
03fccc98.wav,Bass_drum Knock Computer_keyboard
0402129f.wav,Squeak Snare_drum Drawer_open_or_close
040258a9.wav,Cello Drawer_open_or_close Violin_or_fiddle
041521b0.wav,Bass_drum Gunshot_or_gunfire Knock
04154da3.wav,Bass_drum Snare_drum Finger_snapping
0419676b.wav,Clarinet Trumpet Gong
041983cd.wav,Acoustic_guitar Cello Gong
04199401.wav,Fart Meow Squeak
041c68ec.wav,Cello Violin_or_fiddle Trumpet
041c7581.wav,Cello Violin_or_fiddle Flute
041eed83.wav,Drawer_open_or_close Microwave_oven Squeak
0422b811.wav,Burping_or_eructation Cough Bark
0448c553.wav,Bass_drum Knock Gunshot_or_gunfire
0448d513.wav,Cello Flute Trumpet
044aef8a.wav,Scissors Keys_jangling Squeak
045931e0.wav,Telephone Bark Telephone
0459ee65.wav,Clarinet Trumpet Flute
045c6122.wav,Gunshot_or_gunfire Bass_drum Computer_keyboard
045c9ea8.wav,Clarinet Trumpet Flute
04605af5.wav,Shatter Hi-hat Tambourine
046250d3.wav,Cello Double_bass Clarinet
046486df.wav,Computer_keyboard Keys_jangling Applause
0468ad68.wav,Flute Clarinet Cello
046e86b5.wav,Hi-hat Telephone Tambourine
047b5857.wav,Cello Squeak Drawer_open_or_close
047bf19c.wav,Flute Clarinet Oboe
047e0d21.wav,Trumpet Harmonica Flute
048470a5.wav,Squeak Shatter Meow
04a301e9.wav,Trumpet Cello Violin_or_fiddle
04ab46a9.wav,Cello Flute Double_bass
04ab4e22.wav,Tambourine Hi-hat Keys_jangling
04b031df.wav,Hi-hat Cowbell Snare_drum
04b249bd.wav,Drawer_open_or_close Fireworks Squeak
04b7ef77.wav,Flute Saxophone Violin_or_fiddle
04bdae57.wav,Hi-hat Bass_drum Shatter
04c2ed9c.wav,Clarinet Trumpet Saxophone
04d15abd.wav,Trumpet Clarinet Applause
04dbef05.wav,Cello Violin_or_fiddle Trumpet
04dddbf5.wav,Bass_drum Snare_drum Finger_snapping
04ecda67.wav,Bass_drum Knock Telephone
04ed8568.wav,Bass_drum Flute Knock
04f232c6.wav,Gunshot_or_gunfire Bass_drum Gunshot_or_gunfire
04f46a27.wav,Bass_drum Knock Double_bass
04f85a49.wav,Acoustic_guitar Saxophone Cello
04fb8280.wav,Acoustic_guitar Electric_piano Double_bass
0509ce2f.wav,Hi-hat Flute Harmonica
0520faf4.wav,Clarinet Microwave_oven Squeak
05296d2a.wav,Clarinet Trumpet Cello
0529d428.wav,Bass_drum Knock Microwave_oven
0539bb41.wav,Acoustic_guitar Chime Bus
053a5fc6.wav,Hi-hat Bass_drum Trumpet
053b4c56.wav,Fart Squeak Tearing
053e7bb5.wav,Snare_drum Hi-hat Violin_or_fiddle
054508f3.wav,Bass_drum Hi-hat Flute
0548124b.wav,Gunshot_or_gunfire Double_bass Bass_drum
054dbf39.wav,Clarinet Flute Violin_or_fiddle
054eeab6.wav,Bark Cough Laughter
05562991.wav,Flute Violin_or_fiddle Trumpet
0558af35.wav,Meow Squeak Saxophone
0568741b.wav,Acoustic_guitar Violin_or_fiddle Electric_piano
05723b3a.wav,Cello Drawer_open_or_close Saxophone
057425e6.wav,Fart Squeak Cough
0576d7ba.wav,Fart Laughter Cough
057c2963.wav,Clarinet Trumpet Bass_drum
0586f0e0.wav,Meow Squeak Oboe
058a0e87.wav,Bass_drum Electric_piano Telephone
058e63ea.wav,Tambourine Hi-hat Bass_drum
0594d8c2.wav,Hi-hat Flute Clarinet
059d5420.wav,Saxophone Oboe Clarinet
059ffef4.wav,Trumpet Clarinet Violin_or_fiddle
05a15a14.wav,Flute Cello Clarinet
05ad10fb.wav,Trumpet Gong Cello
05ae0583.wav,Gong Finger_snapping Violin_or_fiddle
05c2056b.wav,Flute Clarinet Cello
05c8453f.wav,Fireworks Applause Bus
05cae96f.wav,Gunshot_or_gunfire Computer_keyboard Bass_drum
05cc88d2.wav,Computer_keyboard Gunshot_or_gunfire Applause
05ccb0ff.wav,Acoustic_guitar Bus Telephone
05f3c709.wav,Gong Laughter Telephone
05f40290.wav,Cello Double_bass Laughter
05fc58ee.wav,Gunshot_or_gunfire Bass_drum Fart
05fca090.wav,Flute Harmonica Laughter
060428bd.wav,Acoustic_guitar Electric_piano Double_bass
0608d8b7.wav,Fireworks Cello Saxophone
06123abf.wav,Acoustic_guitar Telephone Chime
062c3119.wav,Clarinet Trumpet Cello
062f9f91.wav,Squeak Laughter Chime
06308a6b.wav,Cello Saxophone Trumpet
0630cf5e.wav,Acoustic_guitar Electric_piano Gong
0638da1a.wav,Snare_drum Hi-hat Violin_or_fiddle
063d81f8.wav,Clarinet Trumpet Saxophone
06718b47.wav,Trumpet Saxophone Violin_or_fiddle
0671a98a.wav,Trumpet Flute Clarinet
06775f3c.wav,Laughter Acoustic_guitar Drawer_open_or_close
0678a571.wav,Trumpet Saxophone Clarinet
067d6a04.wav,Flute Cello Clarinet
06827666.wav,Acoustic_guitar Glockenspiel Bass_drum
0682b1f6.wav,Gong Hi-hat Telephone
0689d2f6.wav,Bass_drum Knock Drawer_open_or_close
069b1efa.wav,Flute Cello Bass_drum
069b4384.wav,Bass_drum Knock Drawer_open_or_close
069e4fb3.wav,Bus Squeak Fireworks
06b27161.wav,Squeak Flute Squeak
06bb374e.wav,Fart Squeak Gunshot_or_gunfire
06bd2694.wav,Bass_drum Gunshot_or_gunfire Gong
06c33b21.wav,Bus Tearing Telephone
06c535eb.wav,Telephone Gong Squeak
06d4796b.wav,Flute Oboe Meow
06dcd7a0.wav,Squeak Microwave_oven Fireworks
06e1d866.wav,Squeak Laughter Saxophone
06e4a7a3.wav,Acoustic_guitar Cello Bass_drum
06e4c394.wav,Violin_or_fiddle Cello Saxophone
06ee2e39.wav,Trumpet Saxophone Oboe
06faccbf.wav,Acoustic_guitar Computer_keyboard Microwave_oven
06fbe4da.wav,Electric_piano Double_bass Acoustic_guitar
070096e9.wav,Clarinet Oboe Saxophone
070204c5.wav,Squeak Finger_snapping Gunshot_or_gunfire
07038d45.wav,Squeak Scissors Meow
07063bc9.wav,Keys_jangling Tambourine Writing
070fea08.wav,Clarinet Oboe Flute
0716b51d.wav,Double_bass Knock Bass_drum
071b2b62.wav,Acoustic_guitar Burping_or_eructation Laughter
071e7724.wav,Knock Bass_drum Double_bass
071f4c75.wav,Flute Clarinet Violin_or_fiddle
0722054b.wav,Clarinet Cello Flute
07256457.wav,Trumpet Oboe Saxophone
0730b080.wav,Computer_keyboard Knock Bass_drum
0736d78e.wav,Fart Laughter Squeak
073d6755.wav,Microwave_oven Acoustic_guitar Double_bass
0745def5.wav,Acoustic_guitar Bass_drum Snare_drum
0751e141.wav,Hi-hat Trumpet Shatter
