fname,1,2,3,lp,stack
00063640.wav,Shatter,Keys_jangling,Tambourine,,Shatter
0013a1db.wav,Flute,Trumpet,Violin_or_fiddle,Flute,Flute
002bb878.wav,Bass_drum,Knock,Gunshot_or_gunfire,,Bass_drum
002d392d.wav,Bass_drum,Knock,Double_bass,Bass_drum,Bass_drum
00326aa9.wav,Oboe,Clarinet,Bass_drum,,Oboe
0038a046.wav,Bass_drum,Electric_piano,Knock,,Bass_drum
003995fa.wav,Squeak,Clarinet,Telephone,,Squeak
005ae625.wav,Acoustic_guitar,Cello,Clarinet,,Acoustic_guitar
007759c4.wav,Clarinet,Flute,Telephone,,Flute
008afd93.wav,Saxophone,Flute,Cello,Saxophone,Saxophone
00a161c0.wav,Cello,Clarinet,Flute,,Cello
00a7a2f6.wav,Clarinet,Trumpet,Cello,Clarinet,Clarinet
00ae03f6.wav,Chime,Telephone,Bus,Chime,Chime
00b2404e.wav,Cello,Double_bass,Bass_drum,,Cello
00beb030.wav,Clarinet,Oboe,Trumpet,Clarinet,Clarinet
00c4d5b8.wav,Acoustic_guitar,Gong,Double_bass,Acoustic_guitar,Acoustic_guitar
00c92c05.wav,Acoustic_guitar,Clarinet,Glockenspiel,Acoustic_guitar,Acoustic_guitar
00ccf065.wav,Bass_drum,Flute,Finger_snapping,Bass_drum,Bass_drum
00d0ab77.wav,Clarinet,Trumpet,Cello,Clarinet,Clarinet
00dffe3a.wav,Bass_drum,Knock,Hi-hat,Bass_drum,Bass_drum
00e33205.wav,Clarinet,Trumpet,Oboe,Clarinet,Clarinet
00e7ed07.wav,Flute,Saxophone,Trumpet,Flute,Flute
00eac343.wav,Electric_piano,Telephone,Clarinet,,Electric_piano
00f2f692.wav,Hi-hat,Violin_or_fiddle,Glockenspiel,,Hi-hat
0102a895.wav,Cello,Double_bass,Acoustic_guitar,,Cello
010a0b3a.wav,Shatter,Tambourine,Keys_jangling,,Shatter
010eed01.wav,Trumpet,Knock,Gunshot_or_gunfire,,Trumpet
01115622.wav,Shatter,Hi-hat,Keys_jangling,Shatter,Shatter
01198b7e.wav,Clarinet,Oboe,Saxophone,Clarinet,Clarinet
01207ce5.wav,Tearing,Keys_jangling,Gunshot_or_gunfire,,Tearing
0137bfba.wav,Acoustic_guitar,Laughter,Computer_keyboard,,Acoustic_guitar
014eb52e.wav,Flute,Saxophone,Clarinet,Flute,Flute
01608fa3.wav,Bass_drum,Knock,Double_bass,Bass_drum,Bass_drum
0169348e.wav,Clarinet,Saxophone,Trumpet,Clarinet,Clarinet
016e52da.wav,Flute,Clarinet,Bass_drum,Flute,Flute
0183b482.wav,Acoustic_guitar,Electric_piano,Telephone,Acoustic_guitar,Acoustic_guitar
0185de6b.wav,Acoustic_guitar,Electric_piano,Cello,Acoustic_guitar,Acoustic_guitar
01a5a2a3.wav,Bark,Cough,Bass_drum,,Bark
01aed32a.wav,Acoustic_guitar,Clarinet,Cello,Acoustic_guitar,Acoustic_guitar
01afccc5.wav,Acoustic_guitar,Cello,Saxophone,Acoustic_guitar,Acoustic_guitar
01b4cdb5.wav,Acoustic_guitar,Computer_keyboard,Writing,Acoustic_guitar,Acoustic_guitar
01b85217.wav,Clarinet,Trumpet,Flute,Clarinet,Clarinet
01bb344f.wav,Double_bass,Acoustic_guitar,Saxophone,,Double_bass
01bede12.wav,Trumpet,Flute,Clarinet,Trumpet,Trumpet
01c9d6d3.wav,Clarinet,Trumpet,Flute,,Clarinet
01e628cb.wav,Clarinet,Flute,Trumpet,Clarinet,Clarinet
01e6e112.wav,Acoustic_guitar,Telephone,Harmonica,,Telephone
01e99e2d.wav,Cello,Violin_or_fiddle,Flute,,Cello
01eccb6e.wav,Clarinet,Trumpet,Flute,Clarinet,Clarinet
01f27f99.wav,Gunshot_or_gunfire,Fireworks,Fart,,Gunshot_or_gunfire
01f29edb.wav,Flute,Clarinet,Cello,Flute,Flute
01f9883e.wav,Acoustic_guitar,Laughter,Saxophone,,Acoustic_guitar
01fd22ba.wav,Bass_drum,Electric_piano,Telephone,Bass_drum,Bass_drum
01fe4a01.wav,Bus,Tearing,Fireworks,,Bus
02107093.wav,Electric_piano,Telephone,Knock,,Electric_piano
02182ebd.wav,Hi-hat,Bass_drum,Fireworks,,Hi-hat
02198549.wav,Scissors,Computer_keyboard,Keys_jangling,,Computer_keyboard
0220d48a.wav,Bass_drum,Knock,Gunshot_or_gunfire,Bass_drum,Bass_drum
02210ee7.wav,Flute,Saxophone,Violin_or_fiddle,Flute,Flute
022170df.wav,Clarinet,Saxophone,Oboe,Clarinet,Clarinet
023431b2.wav,Trumpet,Harmonica,Squeak,Trumpet,Trumpet
023e7db3.wav,Flute,Saxophone,Clarinet,Flute,Flute
023eab1f.wav,Double_bass,Knock,Bark,,Double_bass
02482fdc.wav,Acoustic_guitar,Violin_or_fiddle,Cello,Acoustic_guitar,Acoustic_guitar
024e45b1.wav,Cello,Saxophone,Violin_or_fiddle,,Cello
026820e6.wav,Laughter,Burping_or_eructation,Cough,,Laughter
02697329.wav,Bass_drum,Microwave_oven,Burping_or_eructation,Bass_drum,Bass_drum
