fname,label
00063640.wav,Scissors Shatter Keys_jangling
0013a1db.wav,Flute Violin_or_fiddle Cowbell
002bb878.wav,Bass_drum Knock Gunshot_or_gunfire
002d392d.wav,Bass_drum Knock Cowbell
00326aa9.wav,Oboe Flute Clarinet
0038a046.wav,Bass_drum Knock Electric_piano
003995fa.wav,Squeak Shatter Telephone
005ae625.wav,Acoustic_guitar Electric_piano Gong
007759c4.wav,Telephone Acoustic_guitar Clarinet
008afd93.wav,Saxophone Violin_or_fiddle Flute
00a161c0.wav,Cello Acoustic_guitar Double_bass
00a7a2f6.wav,Clarinet Acoustic_guitar Electric_piano
00ae03f6.wav,Chime Telephone Harmonica
00b2404e.wav,Cello Double_bass Violin_or_fiddle
00beb030.wav,Clarinet Oboe Saxophone
00c4d5b8.wav,Acoustic_guitar Double_bass Bus
00c92c05.wav,Acoustic_guitar Glockenspiel Electric_piano
00ccf065.wav,Bass_drum Telephone Knock
00d0ab77.wav,Clarinet Acoustic_guitar Chime
00dffe3a.wav,Bass_drum Telephone Knock
00e33205.wav,Clarinet Flute Acoustic_guitar
00e7ed07.wav,Flute Saxophone Violin_or_fiddle
00eac343.wav,Violin_or_fiddle Squeak Clarinet
00f2f692.wav,Hi-hat Violin_or_fiddle Glockenspiel
0102a895.wav,Cello Double_bass Acoustic_guitar
010a0b3a.wav,Shatter Hi-hat Tambourine
010eed01.wav,Knock Finger_snapping Gunshot_or_gunfire
01115622.wav,Shatter Tearing Hi-hat
01198b7e.wav,Clarinet Oboe Violin_or_fiddle
01207ce5.wav,Tearing Hi-hat Gunshot_or_gunfire
0137bfba.wav,Computer_keyboard Finger_snapping Applause
014eb52e.wav,Flute Saxophone Cello
01608fa3.wav,Bass_drum Knock Telephone
0169348e.wav,Clarinet Trumpet Saxophone
016e52da.wav,Flute Double_bass Violin_or_fiddle
0183b482.wav,Acoustic_guitar Electric_piano Clarinet
0185de6b.wav,Acoustic_guitar Electric_piano Computer_keyboard
01a5a2a3.wav,Bark Telephone Scissors
01aed32a.wav,Acoustic_guitar Electric_piano Violin_or_fiddle
01afccc5.wav,Acoustic_guitar Cello Laughter
01b4cdb5.wav,Acoustic_guitar Bus Telephone
01b85217.wav,Clarinet Flute Telephone
01bb344f.wav,Acoustic_guitar Double_bass Cello
01bede12.wav,Trumpet Saxophone Oboe
01c9d6d3.wav,Clarinet Flute Gong
01e628cb.wav,Clarinet Flute Harmonica
01e6e112.wav,Acoustic_guitar Telephone Writing
01e99e2d.wav,Cello Violin_or_fiddle Harmonica
01eccb6e.wav,Clarinet Flute Saxophone
01f27f99.wav,Fart Shatter Microwave_oven
01f29edb.wav,Flute Cello Violin_or_fiddle
01f9883e.wav,Acoustic_guitar Laughter Fart
01fd22ba.wav,Bass_drum Cowbell Telephone
01fe4a01.wav,Fireworks Tearing Shatter
02107093.wav,Electric_piano Bass_drum Double_bass
02182ebd.wav,Hi-hat Snare_drum Finger_snapping
02198549.wav,Computer_keyboard Scissors Keys_jangling
0220d48a.wav,Bass_drum Knock Gunshot_or_gunfire
02210ee7.wav,Flute Cello Violin_or_fiddle
022170df.wav,Clarinet Flute Saxophone
023431b2.wav,Harmonica Trumpet Violin_or_fiddle
023e7db3.wav,Flute Saxophone Clarinet
023eab1f.wav,Double_bass Knock Bus
02482fdc.wav,Acoustic_guitar Chime Glockenspiel
024e45b1.wav,Cello Violin_or_fiddle Double_bass
026820e6.wav,Cough Burping_or_eructation Fart
02697329.wav,Bass_drum Knock Telephone
027a8b14.wav,Finger_snapping Tearing Scissors
027dbe3e.wav,Bass_drum Knock Double_bass
027f06cc.wav,Cough Squeak Violin_or_fiddle
028278f0.wav,Trumpet Acoustic_guitar Meow
028db587.wav,Double_bass Knock Cello
02960f07.wav,Tearing Writing Scissors
0298b2c6.wav,Flute Harmonica Saxophone
02a0eb3c.wav,Tearing Bus Squeak
02ad476f.wav,Squeak Drawer_open_or_close Meow
02af55f6.wav,Acoustic_guitar Electric_piano Cello
02c3af87.wav,Trumpet Oboe Hi-hat
02c46d0b.wav,Double_bass Cello Bus
02c6f112.wav,Cello Violin_or_fiddle Flute
02cb4d01.wav,Gunshot_or_gunfire Double_bass Bass_drum
02d5dc55.wav,Bass_drum Knock Telephone
02d9b93c.wav,Saxophone Flute Clarinet
02df943b.wav,Bass_drum Knock Gunshot_or_gunfire
02e99b5e.wav,Cello Double_bass Saxophone
02f8d82c.wav,Trumpet Saxophone Hi-hat
02fb6c5b.wav,Knock Bass_drum Gunshot_or_gunfire
