fname,label
00063640.wav,Shatter Keys_jangling Scissors
0013a1db.wav,Flute Trumpet Meow
002bb878.wav,Bass_drum Knock Gunshot_or_gunfire
002d392d.wav,Bass_drum Knock Double_bass
00326aa9.wav,Oboe Bass_drum Clarinet
0038a046.wav,Bass_drum Double_bass Electric_piano
003995fa.wav,Squeak Telephone Clarinet
005ae625.wav,Acoustic_guitar Gong Cello
007759c4.wav,Clarinet Saxophone Telephone
008afd93.wav,Saxophone Violin_or_fiddle Trumpet
00a161c0.wav,Cello Clarinet Saxophone
00a7a2f6.wav,Clarinet Oboe Saxophone
00ae03f6.wav,Chime Telephone Harmonica
00b2404e.wav,Cello Double_bass Violin_or_fiddle
00beb030.wav,Clarinet Oboe Trumpet
00c4d5b8.wav,Acoustic_guitar Gong Double_bass
00c92c05.wav,Acoustic_guitar Clarinet Glockenspiel
00ccf065.wav,Bass_drum Gunshot_or_gunfire Finger_snapping
00d0ab77.wav,Clarinet Oboe Trumpet
00dffe3a.wav,Bass_drum Knock Finger_snapping
00e33205.wav,Clarinet Oboe Saxophone
00e7ed07.wav,Flute Saxophone Trumpet
00eac343.wav,Electric_piano Telephone Violin_or_fiddle
00f2f692.wav,Hi-hat Violin_or_fiddle Glockenspiel
0102a895.wav,Cello Double_bass Acoustic_guitar
010a0b3a.wav,Shatter Tambourine Keys_jangling
010eed01.wav,Trumpet Knock Fart
01115622.wav,Shatter Hi-hat Fart
01198b7e.wav,Clarinet Violin_or_fiddle Saxophone
01207ce5.wav,Tearing Keys_jangling Gunshot_or_gunfire
0137bfba.wav,Acoustic_guitar Laughter Computer_keyboard
014eb52e.wav,Flute Saxophone Trumpet
01608fa3.wav,Bass_drum Knock Double_bass
0169348e.wav,Clarinet Saxophone Trumpet
016e52da.wav,Flute Bass_drum Clarinet
0183b482.wav,Acoustic_guitar Electric_piano Telephone
0185de6b.wav,Acoustic_guitar Electric_piano Cello
01a5a2a3.wav,Bark Violin_or_fiddle Bass_drum
01aed32a.wav,Acoustic_guitar Clarinet Electric_piano
01afccc5.wav,Acoustic_guitar Cello Saxophone
01b4cdb5.wav,Acoustic_guitar Bus Writing
01b85217.wav,Clarinet Oboe Flute
01bb344f.wav,Double_bass Acoustic_guitar Saxophone
01bede12.wav,Trumpet Saxophone Flute
01c9d6d3.wav,Clarinet Trumpet Flute
01e628cb.wav,Clarinet Flute Oboe
01e6e112.wav,Acoustic_guitar Laughter Telephone
01e99e2d.wav,Cello Violin_or_fiddle Flute
01eccb6e.wav,Clarinet Saxophone Flute
01f27f99.wav,Gunshot_or_gunfire Laughter Fart
01f29edb.wav,Flute Clarinet Cello
01f9883e.wav,Acoustic_guitar Laughter Saxophone
01fd22ba.wav,Bass_drum Electric_piano Telephone
01fe4a01.wav,Bus Tearing Fireworks
02107093.wav,Electric_piano Finger_snapping Telephone
02182ebd.wav,Hi-hat Bass_drum Keys_jangling
02198549.wav,Scissors Computer_keyboard Keys_jangling
0220d48a.wav,Bass_drum Knock Gunshot_or_gunfire
02210ee7.wav,Flute Cello Violin_or_fiddle
022170df.wav,Clarinet Saxophone Flute
023431b2.wav,Trumpet Harmonica Violin_or_fiddle
023e7db3.wav,Flute Clarinet Saxophone
023eab1f.wav,Double_bass Knock Bass_drum
02482fdc.wav,Acoustic_guitar Violin_or_fiddle Clarinet
024e45b1.wav,Cello Violin_or_fiddle Saxophone
026820e6.wav,Laughter Burping_or_eructation Cough
02697329.wav,Bass_drum Microwave_oven Burping_or_eructation
027a8b14.wav,Finger_snapping Hi-hat Scissors
027dbe3e.wav,Bass_drum Double_bass Knock
027f06cc.wav,Squeak Laughter Violin_or_fiddle
028278f0.wav,Trumpet Clarinet Oboe
028db587.wav,Double_bass Knock Bass_drum
02960f07.wav,Scissors Writing Tearing
0298b2c6.wav,Flute Saxophone Clarinet
02a0eb3c.wav,Acoustic_guitar Bus Telephone
02ad476f.wav,Squeak Drawer_open_or_close Gunshot_or_gunfire
02af55f6.wav,Acoustic_guitar Electric_piano Violin_or_fiddle
02c3af87.wav,Trumpet Saxophone Clarinet
02c46d0b.wav,Acoustic_guitar Double_bass Cello
02c6f112.wav,Cello Violin_or_fiddle Drawer_open_or_close
02cb4d01.wav,Gunshot_or_gunfire Double_bass Bass_drum
02d5dc55.wav,Bass_drum Knock Gunshot_or_gunfire
02d9b93c.wav,Saxophone Flute Clarinet
02df943b.wav,Bass_drum Knock Gunshot_or_gunfire
02e99b5e.wav,Cello Saxophone Clarinet
02f8d82c.wav,Trumpet Saxophone Clarinet
02fb6c5b.wav,Knock Bass_drum Gunshot_or_gunfire
0300b76b.wav,Acoustic_guitar Laughter Bus
0303e3a5.wav,Bass_drum Double_bass Microwave_oven
03079bb2.wav,Computer_keyboard Scissors Writing
030bacc6.wav,Drawer_open_or_close Microwave_oven Squeak
030db750.wav,Telephone Squeak Meow
0310089a.wav,Flute Oboe Clarinet
0316ff65.wav,Bass_drum Knock Snare_drum
03199dbe.wav,Cello Double_bass Violin_or_fiddle
031b6d8f.wav,Flute Saxophone Trumpet
