fname,label
00063640.wav,Shatter Keys_jangling Computer_keyboard
0013a1db.wav,Flute Violin_or_fiddle Oboe
002bb878.wav,Bass_drum Knock Gunshot_or_gunfire
002d392d.wav,Bass_drum Knock Snare_drum
00326aa9.wav,Oboe Clarinet Flute
0038a046.wav,Bass_drum Knock Electric_piano
003995fa.wav,Squeak Glockenspiel Telephone
005ae625.wav,Acoustic_guitar Electric_piano Gong
007759c4.wav,Telephone Clarinet Acoustic_guitar
008afd93.wav,Saxophone Flute Clarinet
00a161c0.wav,Cello Acoustic_guitar Double_bass
00a7a2f6.wav,Clarinet Flute Acoustic_guitar
00ae03f6.wav,Chime Harmonica Telephone
00b2404e.wav,Cello Double_bass Violin_or_fiddle
00beb030.wav,Clarinet Saxophone Oboe
00c4d5b8.wav,Acoustic_guitar Double_bass Cello
00c92c05.wav,Acoustic_guitar Electric_piano Clarinet
00ccf065.wav,Bass_drum Snare_drum Telephone
00d0ab77.wav,Clarinet Saxophone Flute
00dffe3a.wav,Bass_drum Knock Electric_piano
00e33205.wav,Clarinet Flute Saxophone
00e7ed07.wav,Flute Violin_or_fiddle Saxophone
00eac343.wav,Electric_piano Violin_or_fiddle Squeak
00f2f692.wav,Hi-hat Violin_or_fiddle Glockenspiel
0102a895.wav,Cello Double_bass Acoustic_guitar
010a0b3a.wav,Shatter Tambourine Keys_jangling
010eed01.wav,Trumpet Knock Finger_snapping
01115622.wav,Shatter Hi-hat Tearing
01198b7e.wav,Clarinet Flute Oboe
01207ce5.wav,Tearing Hi-hat Fireworks
0137bfba.wav,Computer_keyboard Acoustic_guitar Laughter
014eb52e.wav,Flute Saxophone Clarinet
01608fa3.wav,Bass_drum Knock Double_bass
0169348e.wav,Clarinet Trumpet Saxophone
016e52da.wav,Flute Clarinet Violin_or_fiddle
0183b482.wav,Acoustic_guitar Electric_piano Clarinet
0185de6b.wav,Acoustic_guitar Electric_piano Cello
01a5a2a3.wav,Bark Telephone Laughter
01aed32a.wav,Acoustic_guitar Electric_piano Clarinet
01afccc5.wav,Acoustic_guitar Cello Laughter
01b4cdb5.wav,Acoustic_guitar Bus Writing
01b85217.wav,Clarinet Flute Saxophone
01bb344f.wav,Double_bass Acoustic_guitar Cello
01bede12.wav,Trumpet Saxophone Oboe
01c9d6d3.wav,Flute Clarinet Saxophone
01e628cb.wav,Clarinet Flute Saxophone
01e6e112.wav,Acoustic_guitar Telephone Harmonica
01e99e2d.wav,Cello Violin_or_fiddle Clarinet
01eccb6e.wav,Clarinet Flute Saxophone
01f27f99.wav,Fart Shatter Tambourine
01f29edb.wav,Flute Clarinet Cello
01f9883e.wav,Acoustic_guitar Laughter Saxophone
01fd22ba.wav,Bass_drum Electric_piano Telephone
01fe4a01.wav,Tearing Fireworks Bus
02107093.wav,Electric_piano Bass_drum Knock
02182ebd.wav,Hi-hat Snare_drum Tearing
02198549.wav,Scissors Keys_jangling Computer_keyboard
0220d48a.wav,Bass_drum Knock Snare_drum
02210ee7.wav,Flute Cello Violin_or_fiddle
022170df.wav,Clarinet Flute Saxophone
023431b2.wav,Trumpet Harmonica Violin_or_fiddle
023e7db3.wav,Flute Saxophone Clarinet
023eab1f.wav,Double_bass Bus Knock
02482fdc.wav,Acoustic_guitar Violin_or_fiddle Gong
024e45b1.wav,Cello Acoustic_guitar Violin_or_fiddle
