fname,label_verified
003b91e8.wav,4
004ad66f.wav,7
0079d310.wav,8
00ad7068.wav,12
00c5808a.wav,13
00c9e799.wav,15
00ce569f.wav,0
00d1fe46.wav,17
00d9fa61.wav,16
00fbb28b.wav,20
0120d246.wav,22
01235a12.wav,22
013264d3.wav,22
013c3135.wav,7
01506d76.wav,24
015cf474.wav,7
01638f61.wav,11
017ea24e.wav,28
0184c390.wav,4
018863f5.wav,29
018a10bb.wav,29
01a5dc85.wav,29
02274ee8.wav,28
0231b9f3.wav,34
02328c03.wav,11
0236dccb.wav,33
0259e5d2.wav,0
0266774c.wav,33
02c9a1f1.wav,11
02d7fba3.wav,29
02f8e94d.wav,7
032f7280.wav,36
034beca1.wav,31
03586ad9.wav,33
03657d6d.wav,30
0395ba61.wav,15
03bc8fbc.wav,30
03cd971f.wav,33
03d42e2e.wav,29
03e88255.wav,34
03ed9ba8.wav,15
03f38c68.wav,0
0429828b.wav,31
0447d04d.wav,12
04490642.wav,22
0450e72b.wav,15
04646cce.wav,26
047f5b83.wav,34
048fb352.wav,37
04b9a79a.wav,7
04cce777.wav,28
04d0cae4.wav,5
04d33fe7.wav,30
0508f1e3.wav,29
05173c4d.wav,19
05309a38.wav,10
05a0ca60.wav,38
05b76c07.wav,22
05cc4425.wav,21
05d0dfa7.wav,15
05d81cdf.wav,29
05ecefbe.wav,39
06006fca.wav,5
061cf689.wav,2
0627acfa.wav,4
0632d921.wav,12
0640c787.wav,37
064cfad3.wav,7
065e7bb4.wav,8
066d40f4.wav,10
06896eb5.wav,22
06a76756.wav,10
06c1c5c3.wav,25
06d164df.wav,7
06e15d8e.wav,21
06fd1973.wav,0
07036b1d.wav,10
070bcdd9.wav,39
070f52cb.wav,4
0730a3d8.wav,38
0733ce78.wav,37
0742098b.wav,9
074cc08b.wav,6
07605b4c.wav,19
07764530.wav,15
079bb1c3.wav,15
07a16abd.wav,13
07a99531.wav,15
07b44e8e.wav,32
07b910ee.wav,33
07ec6849.wav,17
07f6b1dc.wav,4
082321d2.wav,4
085be86f.wav,32
0879e568.wav,1
0886d4f8.wav,30
08893744.wav,21
088b75db.wav,21
08a94aca.wav,14
08c931f6.wav,5
08e79547.wav,21
08fa5140.wav,7
08fb553f.wav,11
0906c4a9.wav,34
090ea106.wav,32
0939d783.wav,22
0969b5c5.wav,38
096b4d70.wav,9
09841f13.wav,30
09a732e6.wav,21
09a7c5ce.wav,10
09bc3033.wav,36
09ca1e09.wav,30
0a037e96.wav,31
0a0a8d4c.wav,7
0a15b36b.wav,7
0a32271b.wav,35
0a8d300c.wav,22
0a98104d.wav,39
0aab722d.wav,0
0ac443ad.wav,12
0ad5618e.wav,21
0ade0819.wav,22
0af32053.wav,15
0aff3cde.wav,21
0b142b38.wav,17
0b3d7a19.wav,17
0b489adc.wav,20
0b5b6734.wav,17
0b5dd555.wav,29
0b5ea11d.wav,32
0b6fba96.wav,22
0b7aa40a.wav,4
0b7f8989.wav,19
0ba8bcc2.wav,12
0bdef4f9.wav,15
0be246ba.wav,29
0be52cd7.wav,21
0bfdf35b.wav,30
0c080361.wav,11
0c118aaa.wav,34
0c364094.wav,4
0c4948ba.wav,9
0c66ddcb.wav,31
0c6ec89a.wav,15
0c9abd6a.wav,10
0cafd32f.wav,32
0cb7fc83.wav,26
0cbfebc7.wav,12
0cc4c3b7.wav,40
0ccf0903.wav,3
0ce9b7a0.wav,29
0cea4550.wav,7
0cec67d2.wav,11
0ceed74d.wav,15
0d0c7375.wav,21
0d0d1b88.wav,37
0d0d648b.wav,21
0d1cb966.wav,15
0d30af2b.wav,26
0d3d36f5.wav,10
0db954fa.wav,37
0ded93ce.wav,32
0dfcedf6.wav,37
0e19ed55.wav,33
0e2fbeb8.wav,29
0e544eb8.wav,15
0e5c9ed0.wav,5
0e630318.wav,10
0e89fb66.wav,5
0e974517.wav,12
0ea3dbaf.wav,1
0eb63f5a.wav,38
0ec012fc.wav,12
0ecb56ad.wav,14
0ee42262.wav,2
0f01e836.wav,13
0f18c55b.wav,14
0f1a5928.wav,26
0f1dbff5.wav,37
0f53ac39.wav,0
0f6e2a63.wav,37
0f72651c.wav,0
0f936928.wav,15
0fb0c2e1.wav,30
0fb464cf.wav,37
0fcdc341.wav,22
0ff4262d.wav,10
100009e2.wav,11
10086933.wav,29
100f6b3f.wav,30
102ef2c7.wav,15
1032e684.wav,35
103dfb7c.wav,11
105f3923.wav,34
1068cb59.wav,11
10734a58.wav,28
10876da8.wav,2
10884a97.wav,29
108e95b3.wav,7
1094232e.wav,36
